date,ced_code_2013,ced_name_2013,Commonwealth electoral division state,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Double Orphan Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
2016-03,320,Longman,QLD,57,156,19994,273,5989,132,2589,1312,6901,13,14119,11815,12182,2447,6807,1007,3135,50,36386,72,10,173,0,61,71,1324,967
2016-03,321,Maranoa,QLD,57,389,19504,123,4969,97,2316,2268,7388,6,12151,9723,10579,1588,5564,868,2479,31,34449,52,7,124,0,71,79,1137,356
2016-03,322,McPherson,QLD,52,47,18129,403,3601,98,1399,1951,4219,7,10694,8510,9089,2173,5055,487,1637,17,27935,64,13,164,0,27,22,688,1362
2016-03,323,Moncrieff,QLD,59,63,18527,550,3567,87,1571,2228,5144,7,10120,8331,10880,2611,6753,587,1811,24,30043,80,20,162,0,21,24,834,1909
2016-03,324,Moreton,QLD,73,80,11937,452,2544,79,1006,2111,3794,9,8619,7061,9846,3170,4541,654,1060,18,19554,47,47,111,0,18,10,637,2462
2016-03,325,Oxley,QLD,81,173,11417,277,3847,163,1745,912,5201,20,14278,11980,12038,2442,5950,1077,2549,20,23743,66,38,142,0,29,32,1102,1513
2016-03,326,Petrie,QLD,55,134,19037,282,4370,109,1678,1572,5912,8,12474,10369,10071,1963,5599,720,2380,28,31872,69,24,105,0,34,40,1009,919
2016-03,327,Rankin,QLD,77,200,13249,355,4404,148,2133,766,6520,17,18213,15199,15526,2894,7698,1489,3380,27,28613,67,55,140,0,52,68,1442,1596
2016-03,328,Ryan,QLD,68,53,9519,431,1924,65,431,3155,2037,0,4870,3986,6411,2927,2378,222,550,9,13533,31,5,52,0,9,5,329,2892
2016-03,329,Wide Bay,QLD,45,243,23061,274,5926,98,3082,2305,9083,5,11674,9654,11575,2137,7413,899,2281,52,41343,69,10,206,0,71,96,1313,602
2016-03,330,Wright,QLD,42,123,15329,215,4618,118,1963,1530,5319,7,11688,9280,9658,2015,4962,651,2046,31,27162,67,9,93,0,34,67,877,936
2016-03,401,Adelaide,SA,83,47,14519,537,2945,89,1105,2065,6019,14,7265,6014,10223,3404,5789,508,951,18,24878,53,55,94,0,31,15,554,2658
2016-03,402,Barker,SA,42,100,21820,150,4282,148,1897,2128,6929,12,11773,9149,10369,1888,6585,826,1945,38,35901,48,9,127,0,55,69,821,648
2016-03,403,Boothby,SA,48,36,18505,421,2848,106,843,2577,4111,5,6778,5370,7811,2803,3895,347,812,30,26056,43,9,84,0,29,26,408,1914
2016-03,404,Grey,SA,109,314,21852,90,4990,134,2369,1567,8057,8,10614,8824,11636,1598,8412,927,2305,71,38289,65,5,121,0,48,84,1325,425
2016-03,405,Hindmarsh,SA,41,43,21529,388,3751,109,1312,2265,5551,8,7383,5921,8795,2691,4961,403,977,30,31519,52,18,81,0,52,25,507,1840
2016-03,406,Kingston,SA,55,67,18665,355,4916,197,2093,710,6905,7,13338,10868,12044,2722,7096,878,2441,50,33680,63,18,121,0,50,56,1061,1356
2016-03,407,Makin,SA,38,43,19424,261,4117,195,1501,943,4911,10,11064,8833,10057,2497,5316,673,1598,46,30004,54,17,118,0,50,40,743,1513
2016-03,408,Mayo,SA,23,33,20946,233,3259,132,1143,2494,4263,5,8510,6501,7409,1894,4017,459,1008,42,29543,34,0,122,0,40,45,463,770
2016-03,409,Port Adelaide,SA,99,130,19110,371,6138,262,2930,575,9179,20,14479,12157,15122,3420,9688,1217,2653,51,38475,72,44,161,0,93,74,1183,2115
2016-03,410,Sturt,SA,36,36,20287,361,3278,117,996,2825,4471,6,7888,6259,7964,2444,3801,449,844,24,28336,42,24,95,0,36,27,413,1554
2016-03,411,Wakefield,SA,60,133,18581,348,6758,364,3050,953,9380,37,16760,14178,16359,3000,10026,1415,3880,46,39674,87,28,136,0,58,84,1631,1643
2016-03,501,Brand,WA,41,121,17572,222,3853,157,1384,1138,4542,8,13295,11671,11194,1953,6538,643,3033,37,29081,54,9,124,0,55,56,989,725
2016-03,502,Canning,WA,48,124,20320,219,3778,151,1438,1885,5047,12,12254,10719,11322,2061,6996,711,2839,46,32433,60,13,137,0,45,57,1076,713
2016-03,503,Cowan,WA,20,92,13223,185,2813,149,988,1086,3189,18,9446,7813,8731,2186,4343,607,1455,27,20524,45,25,102,0,37,39,534,1039
2016-03,504,Curtin,WA,88,37,9512,316,1237,36,280,3738,2150,0,2741,2328,4075,1627,1832,100,389,0,12908,15,10,42,0,7,0,143,1363
2016-03,505,Durack,WA,168,1354,10287,69,2580,70,1247,1067,5677,8,11258,10042,13349,876,8902,1164,3279,11,22665,44,10,74,0,26,32,1400,176
2016-03,506,Forrest,WA,39,183,17290,143,2981,83,1181,2286,4341,10,10318,8762,8962,1788,5577,563,2282,29,27574,64,6,121,0,37,32,753,384
2016-03,507,Fremantle,WA,30,131,14577,346,2754,97,902,1758,4148,5,7509,6466,8063,2047,4828,333,1439,25,22938,45,16,100,0,42,41,507,1082
2016-03,508,Hasluck,WA,66,212,16678,212,3147,128,1208,1324,4137,10,11285,9677,10676,2101,5938,675,2162,30,26260,51,25,127,0,43,52,829,931
2016-03,509,Moore,WA,21,27,11036,186,2076,105,534,1897,2204,10,6956,5812,6346,1708,2994,245,1171,18,16089,40,6,61,0,16,23,355,931
2016-03,510,O'Connor,WA,56,378,15463,91,2844,93,1218,2377,5232,5,10203,8575,9466,1219,6135,764,2150,26,26284,51,14,119,0,32,56,763,307
2016-03,511,Pearce,WA,46,199,15551,175,3338,159,1159,1882,3738,15,12823,10814,10197,1793,5416,665,2513,26,24994,65,20,113,0,29,46,752,664
2016-03,512,Perth,WA,55,94,14816,320,2223,58,829,1444,4001,5,7032,6004,8776,2252,5217,397,1199,23,22470,53,36,112,0,46,22,495,1238
2016-03,513,Stirling,WA,24,107,15616,291,2601,81,957,2143,4244,18,7622,6510,8570,2108,4850,616,1366,32,23836,40,42,108,0,34,31,467,1074
2016-03,514,Swan,WA,77,155,14862,359,2252,69,913,1628,4159,10,7949,6842,9687,2633,5378,541,1402,29,23041,45,49,123,0,18,22,640,1831
2016-03,515,Tangney,WA,16,12,12568,182,1831,64,452,2977,1382,7,5419,4375,5540,1953,2061,197,558,12,15656,16,29,79,0,8,12,174,1193
2016-03,601,Bass,TAS,63,88,13708,257,3135,68,1645,950,4838,14,8134,6706,8755,2460,4837,701,1547,32,24248,32,5,114,0,35,41,978,1212
2016-03,602,Braddon,TAS,56,155,15082,123,3867,74,2165,807,6263,8,8329,6858,7353,1683,4599,602,1616,57,27869,41,8,121,0,52,73,741,432
2016-03,603,Denison,TAS,55,75,11755,313,2476,68,1106,1392,5233,8,6727,5534,7796,2544,4074,484,1218,25,21167,43,13,83,0,22,27,782,1519
2016-03,604,Franklin,TAS,24,83,14170,169,2887,69,1265,1459,4645,7,7646,6088,6484,1824,3250,452,1308,37,23241,39,5,79,0,40,41,548,606
2016-03,605,Lyons,TAS,28,105,15632,116,4259,78,2379,976,6887,7,9191,7349,8105,1780,4973,679,1741,79,29512,47,5,118,0,54,81,726,400
2016-03,701,Lingiari,NT,247,1863,4225,36,1627,54,955,288,5690,5,11219,10005,16629,305,10841,2427,2214,5,14869,41,5,61,0,9,7,1737,89
2016-03,702,Solomon,NT,105,350,4925,119,1472,69,528,518,2893,5,6209,5368,5434,539,3476,321,1344,13,10480,29,12,43,0,13,7,489,276
2016-03,801,Canberra,ACT,23,73,12952,174,2706,99,664,2777,3992,6,6938,5801,5764,1333,2757,300,1295,10,20098,51,14,54,0,18,16,393,800
2016-03,802,Fraser,ACT,64,88,11977,423,2973,128,780,2472,4640,7,9240,7701,9240,3232,3816,470,1463,6,20258,45,53,61,0,11,9,587,2914
2016-06,101,Banks,NSW,12,25,16528,205,4120,124,1864,2445,3729,0,9675,7837,8115,2243,3535,618,983,34,25393,26,213,252,0,30,27,248,1779
2016-06,102,Barton,NSW,13,23,17817,243,4480,100,1848,2249,3557,5,8604,6972,6930,1824,3034,659,885,32,25752,26,78,167,0,43,22,183,1420
2016-06,103,Bennelong,NSW,38,13,14012,311,2651,78,992,3104,3100,5,7136,5672,6513,2266,2278,351,442,9,19972,20,157,165,0,17,10,124,1996
2016-06,104,Berowra,NSW,15,10,11139,187,1798,87,422,3438,1696,0,4608,3418,3740,1257,1111,169,316,5,14277,12,52,73,0,10,0,76,1005
2016-06,105,Blaxland,NSW,25,28,16901,434,8442,375,5754,911,7412,11,18159,15912,16453,3847,7391,2797,2536,58,37226,35,188,273,0,132,65,570,3228
2016-06,106,Bradfield,NSW,7,24,9568,177,1585,77,328,4987,1489,0,4390,3490,3977,1210,1169,187,277,5,12310,11,64,80,0,5,0,58,1106
2016-06,107,Calare,NSW,104,392,19436,228,4327,168,1844,2052,7115,0,11007,8975,9583,2167,4988,623,2638,30,33706,52,13,92,0,35,44,966,1448
2016-06,108,Charlton,NSW,78,184,20137,240,4939,131,2036,1529,6260,5,9618,7945,8281,1855,4311,451,1909,39,32813,42,6,109,0,52,56,770,1094
